time,open,volume,MACD,MACD_Hist,MACD_Signal,high,low
5/31/2023 13:32,417.74,157740,0.1338,0.0439,0.0899,418.6,417.52
5/31/2023 13:31,417.82,130064,0.1183,0.0394,0.0789,418.6,417.52
5/31/2023 13:30,417.62,288081,0.0887,0.0197,0.069,418.6,417.4
5/31/2023 13:29,417.4,129120,0.07,0.0058,0.0641,418.6,417.4
5/31/2023 13:28,417.43,100710,0.0675,0.0048,0.0627,418.6,417.386
5/31/2023 13:27,417.386,149940,0.0602,-0.0013,0.0615,418.6,417.36
5/31/2023 13:26,417.36,86534,0.0546,-0.0072,0.0618,418.6,417.245
5/31/2023 13:25,417.245,92352,0.0492,-0.0144,0.0636,418.6,417.245
5/31/2023 13:24,417.34,146902,0.0534,-0.0138,0.0672,418.6,417.245
5/31/2023 13:23,417.29,80214,0.0482,-0.0224,0.0706,418.6,417.18
5/31/2023 13:22,417.18,49053,0.046,-0.0302,0.0763,418.6,417.09
5/31/2023 13:21,417.09,70093,0.0538,-0.03,0.0838,418.6,417.09
5/31/2023 13:20,417.15,69501,0.0721,-0.0193,0.0913,418.6,417.09
5/31/2023 13:19,417.24,51027,0.0882,-0.0079,0.0961,418.6,417.09
5/31/2023 13:18,417.27,82841,0.0984,0.0003,0.0981,418.6,417.09
5/31/2023 13:17,417.39,109613,0.1069,0.0089,0.0981,418.6,417.09
5/31/2023 13:16,417.335,66862,0.104,0.0082,0.0958,418.6,417.09
5/31/2023 13:15,417.23,68748,0.1044,0.0106,0.0938,418.495,417.09
5/31/2023 13:14,417.28,59139,0.1141,0.023,0.0911,418.495,417.09
5/31/2023 13:13,417.38,56553,0.1197,0.0343,0.0854,418.495,417.09
5/31/2023 13:12,417.39,71415,0.1149,0.0381,0.0768,418.495,417.09
5/31/2023 13:11,417.41,63442,0.1061,0.0388,0.0673,418.44,417.09
5/31/2023 13:10,417.32,93447,0.0913,0.0337,0.0576,418.42,417.09
5/31/2023 13:09,417.26,68968,0.0802,0.0311,0.0491,418.42,417.09
5/31/2023 13:08,417.27,101322,0.071,0.0296,0.0414,418.36,417.09
5/31/2023 13:07,417.18,91881,0.0572,0.0232,0.034,418.345,417.09
5/31/2023 13:06,417.1392,80225,0.0479,0.0198,0.0282,418.345,417.09
5/31/2023 13:05,417.13,73496,0.0396,0.0164,0.0232,418.345,417.035
5/31/2023 13:04,417.035,49626,0.0293,0.0101,0.0191,418.345,417.035
5/31/2023 13:03,417.04,50142,0.0253,0.0087,0.0166,418.345,416.96
5/31/2023 13:02,416.96,32744,0.0195,0.005,0.0144,418.345,416.96
5/31/2023 13:01,416.97,49369,0.0198,0.0067,0.0131,418.345,416.96
5/31/2023 13:00,417.05,60170,0.0189,0.0075,0.0115,418.345,416.96
5/31/2023 12:59,417.04,313293,0.0094,-0.0002,0.0096,418.345,416.93
5/31/2023 12:58,416.93,57931,-0.0018,-0.0115,0.0097,418.345,416.92
